
Bogf�rt;Tekst;Rentedato;Bel�b;Saldo
09-05-2016;Bgs Budgetkonto;06-05-2016;-432,00;1271,05
03-05-2016;danmark;03-05-2016;1313,00;1703,05
02-05-2016;Bgs Budgetkonto;02-05-2016;-1067,02;390,05
30-04-2016;Andet pengeinstitut 5 h�vninger;01-05-2016;-40,00;1457,07
29-04-2016;Bgs Budgetkonto;29-04-2016;-20000,00;1497,07
29-04-2016;Dankort-nota Aldi 005       47893;29-04-2016;-94,40;21497,07
29-04-2016;Roskilde Tekniske Sk;29-04-2016;20171,95;21591,47
29-04-2016;Faktura 611396 Bjark               Meddelnr. 02547718616120;29-04-2016;1530,60;1419,52
29-04-2016;Faktura 611381 Bjark               Meddelnr. 02547690916120;29-04-2016;2756,71;-111,08
29-04-2016;Gebyr, overf. 31.03 - 29.04.2016   Netbank, stk. 1;01-05-2016;-1,00;-2867,79
29-04-2016;Gebyr .;01-05-2016;-3,00;-2866,79
27-04-2016;Bgs Siri min elskede;27-04-2016;-2000,00;-2863,79
26-04-2016;Dankort-nota Roskilde E-cig 19371;26-04-2016;-193,00;-863,79
26-04-2016;Fr. automat den 25.04. kl. 17.33   6819 eksnr.     8661;26-04-2016;-700,00;-670,79
25-04-2016;Dankort-nota Netto Kbh. Vej 54843;25-04-2016;-874,33;29,21
25-04-2016;Dankort-nota Elgiganten 307 20626;25-04-2016;-3058,00;903,54
25-04-2016;Dankort-nota Statoil - 1096 33555;25-04-2016;-412,88;3961,54
25-04-2016;Dankort-nota Fakta 330      81194;25-04-2016;-118,00;4374,42
25-04-2016;Dankort-nota Fakta 330      81186;25-04-2016;-209,03;4492,42
25-04-2016;Dankort-nota Jysk D042      38420;25-04-2016;-999,00;4701,45
21-04-2016;Dankort-nota SPAR BORREVEJL 85718;21-04-2016;-37,00;5700,45
21-04-2016;Dankort-nota H&M 803          582;21-04-2016;-1851,95;5737,45
20-04-2016;Dankort-nota Havannahuset   40447;20-04-2016;-399,00;7589,40
20-04-2016;Dankort-nota Kvickly Roskil 32957;20-04-2016;-139,95;7988,40
19-04-2016;Kim & Sekita Alma;19-04-2016;1500,00;8128,35
19-04-2016;Dankort-nota Kiosk Bien - C 58920;19-04-2016;-74,00;6628,35
19-04-2016;Dankort-nota Dalle Valle    50019;19-04-2016;-252,00;6702,35
18-04-2016;Bgs Siri min elskede;18-04-2016;-2000,00;6954,35
18-04-2016;Bgs Darup AuSkadecenter;16-04-2016;-3833,75;8954,35
18-04-2016;Dankort-nota MobilePay      51535;18-04-2016;-185,00;12788,10
18-04-2016;Dankort-nota MobilePay      93475;18-04-2016;-150,00;12973,10
18-04-2016;Dankort-nota Burger King    62906;18-04-2016;-60,00;13123,10
18-04-2016;Dankort-nota MobilePay      32509;18-04-2016;-249,00;13183,10
15-04-2016;Dankort-nota Aldi 005       38260;15-04-2016;-159,20;13432,10
14-04-2016;Dankort-nota Fakta 387      20736;14-04-2016;-64,00;13591,30
13-04-2016;Visa køb DKK      62,45            PAYPAL *GEOFFKELL                  Den 10.04;13-04-2016;-62,45;13655,30
13-04-2016;Dankort-nota Kirkens Korsh� 12006;13-04-2016;-110,00;13717,75
12-04-2016;Bgs Fysio;12-04-2016;-499,80;13827,75
12-04-2016;Visa køb DKK     471,10            PAYPAL *GAZIZMAD4IT                Den 09.04;12-04-2016;-471,10;14327,55
12-04-2016;Visa køb DKK     184,91            PAYPAL *GEOFFKELL                  Den 07.04;12-04-2016;-184,91;14798,65
12-04-2016;Dankort-nota Igen           41230;12-04-2016;-244,00;14983,56
12-04-2016;Fr. automat den 09.04. kl. 17.36   6819 eksnr.     7943;12-04-2016;-300,00;15227,56
11-04-2016;Dankort-nota Shell Service  15487;11-04-2016;-50,95;15527,56
11-04-2016;Fr. automat den 08.04. kl. 15.15   6819 eksnr.     7907;11-04-2016;-600,00;15578,51
08-04-2016;Dankort-nota Dyreklinikken V 5909;08-04-2016;-686,84;16178,51
08-04-2016;Dankort-nota Uno X Automat  66132;08-04-2016;-433,68;16865,35
